Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
04/25/2025,MOBILE PAYMENT - THANK YOU,-573.75,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320251150908915302',
04/24/2025,PAYPAL *UBER        8665761039          CA,4.99,"10178577536 8665761039
PAYPAL *UBER
8665761039
CA
Description : TAXICABS AND LIMOUS Price : 0.00
8665761039",PAYPAL *UBER        8665761039          CA,"405 HOWARD ST
STE 550","SAN FRANCISCO
CA",94105,UNITED STATES,'320251150932973696',Transportation-Taxis & Coach
04/24/2025,UBER EATS           help.uber.com       CA,21.65,"NE37Z6FG    8005928996
UBER EATS
help.uber.com
CA
8005928996",UBER EATS           help.uber.com       CA,"1455 MARKET ST
-","SAN FRANCISCO
CA",94103,UNITED STATES,'320251150917245035',Restaurant-Restaurant
04/23/2025,AplPay BLANK STREET Boston              MA,5.03,"33eYUyTq6Qn squareup.com/receipts
AplPay BLANK STREET COFFEE
Boston
MA
squareup.com/receipts",AplPay BLANK STREET Boston              MA,122 CP ST,"BOSTON
MA",02114,UNITED STATES,'320251130861543181',Restaurant-Bar & Café
04/23/2025,AplPay MBTA-55001252BOSTON              MA,2.40,"000024725408003926100
MBTA-550012522342-1046
AplPay MBTA-550012522342 LOCID1
BOSTON
MA
MBTA-550012522342-1046
8003926100",AplPay MBTA-55001252BOSTON              MA,10 Park Plaza,"Boston
MA",02116,UNITED STATES,'320251140892840614',Other-Government Services
04/23/2025,AplPay TABLE MERCATOBOSTON              MA,23.54,"72500009    857-250-4286
AplPay TABLE MERCATO 0000
BOSTON
MA
Description : FOOD/BEVERAGE Price : 0.00
857-250-4286",AplPay TABLE MERCATOBOSTON              MA,441 HANOVER ST,"BOSTON
MA",02113,UNITED STATES,'320251140894178876',Restaurant-Restaurant
04/22/2025,AMEX Dining Credit,-10.00,"Reimbursement
AMEX Dining Credit",AMEX Dining Credit,360 HUNTINGTON AVE,"BOSTON
MA",02115,UNITED STATES,'320251120849456372',Restaurant-Restaurant
04/22/2025,AplPay FIV*GONG CHA MALDEN              MA,8.03,"99999995113 8577534264
AplPay FIV*GONG CHA 000002707
MALDEN
MA
8577534264",AplPay FIV*GONG CHA MALDEN              MA,140 CTR ST,"MALDEN
MA",02148,UNITED STATES,'320251130869677966',Restaurant-Restaurant
04/22/2025,AplPay MBTA-55001252BOSTON              MA,2.40,"000024636438003926100
MBTA-550012522342-1046
AplPay MBTA-550012522342 LOCID1
BOSTON
MA
MBTA-550012522342-1046
8003926100",AplPay MBTA-55001252BOSTON              MA,10 Park Plaza,"Boston
MA",02116,UNITED STATES,'320251130869843660',Other-Government Services
04/22/2025,PAYPAL *MULLVAD     4029357733          SW,5.76,"10178421433 4029357733
PAYPAL *MULLVAD
4029357733
SW
Description : COMPUTER NETWORK SE Price : 0.00
4029357733Foreign Spend Amount: 5.00 EURO Commission Amount:  Currency Exchange Rate: null",PAYPAL *MULLVAD     4029357733          SW,"CHALMERS TEKNIKPARK
0730455500",,41288,SWEDEN,'320251130859082838',Communications-Cable & Internet Comm
04/22/2025,TST* LOLITA COCINA &BOSTON              MA,34.24,"4Y7CW7omC00 6173690931
TST* LOLITA COCINA & TEQU 300509402
BOSTON
MA
Description : BARS Price : 0.3424
6173690931",TST* LOLITA COCINA &BOSTON              MA,253 SUMMER ST,"BOSTON
MA",02210-1114,UNITED STATES,'320251120840163311',Restaurant-Restaurant
04/21/2025,AplPay IL MONDO PIZZ617-2777161         MA,4.99,"73011005111 NOTHMAN02067@YAHOO.CO
NOTHMAN02067@YAHOO.COM
AplPay IL MONDO PIZZERIA 436845559797385
617-2777161
MA
NOTHMAN02067@YAHOO.COM",AplPay IL MONDO PIZZ617-2777161         MA,738 HUNTINGTON AVE,"BOSTON
MA",02115-6313,UNITED STATES,'320251120851681984',Restaurant-Restaurant
